Player,Game,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,ProgPasses,Carries,ProgCarries,SuccDribb,AttDribb
Carles Gil,1,Sat,MLS,Regular Season,Away,D 2\'962,New England,Chicago Fire,Y*,AMRMLMCM,90,0,1,0,0,3,1,0,0,65,11,0,0,1,0.2,0.2,0.7,9,1,43,52,82.7,10,42,7,0,1
Carles Gil,2,Sat,MLS,Regular Season,Home,W 1\'960,New England,D.C. United,Y*,AM,90,0,0,0,0,2,0,0,0,57,16,0,0,0,0.1,0.1,0,2,1,30,45,66.7,7,42,6,1,2
Carles Gil,3,Sat,MLS,Regular Season,Home,W 2\'961,New England,Atlanta Utd,Y*,AM,90,1,1,1,1,1,0,0,0,86,31,0,1,0,1,0.2,1,12,2,48,72,66.7,12,60,11,4,8
Carles Gil,4,Sat,MLS,Regular Season,Away,L 0\'962,New England,Nashville,Y*,RM,90,0,0,0,0,0,0,0,0,84,10,0,0,0,0,0,0.6,7,0,60,78,76.9,13,66,9,2,4
Carles Gil,5,Wed,MLS,Regular Season,Away,D 1\'961,New England,Philadelphia,Y*,AM,90,0,0,0,0,2,0,0,0,82,14,1,1,0,0.1,0.1,0.5,7,0,48,68,70.6,10,52,12,1,2
Carles Gil,6,Sun,MLS,Regular Season,Home,W 1\'960,New England,Columbus Crew,Y*,AM,90,0,0,0,0,1,1,0,0,78,21,0,1,0,0.2,0.2,0.4,10,1,54,73,74,14,60,14,4,4
Carles Gil,7,Sat,MLS,Regular Season,Home,W 3\'961,New England,NY Red Bulls,Y*,AM,90,0,0,0,0,4,1,0,0,77,16,0,0,0,0.4,0.4,1,15,1,55,70,78.6,15,56,10,7,8
Carles Gil,8,Sat,MLS,Regular Season,Away,W 1\'960,New England,FC Cincinnati,Y*,AMCM,90,0,1,0,0,2,1,0,0,89,10,1,1,0,0.1,0.1,0.4,11,1,58,78,74.4,7,56,10,2,3
Carles Gil,9,Sat,MLS,Regular Season,Away,W 3\'962,New England,NYCFC,Y*,AMRMFW,90,0,1,0,0,0,0,0,0,74,20,1,1,1,0,0,0.3,5,2,42,59,71.2,3,50,9,2,4
Carles Gil,10,Wed,MLS,Regular Season,Home,W 3\'962,New England,NY Red Bulls,Y*,AMRW,90,0,3,0,0,1,1,0,0,71,13,1,1,0,0.1,0.1,1.2,10,4,42,56,75,7,50,1,7,8
