School,Conference,W,L,Win-Loss Pct,Conference W,Conference L,Conference Win-Loss Pct,Points Per Game,Opponent Points Per Game,SRS,SOS,AP Current,AP Pre-Season
Wake Forest,ACC (Atlantic),10,2,0.833,7,1,0.875,42.9,29.1,13.29,1.29,18,
Clemson,ACC (Atlantic),9,3,0.75,6,2,0.75,26.8,15,11.59,2.67,22,3
North Carolina State,ACC (Atlantic),9,3,0.75,6,2,0.75,33.1,19.7,11.31,1.47,21,
Louisville,ACC (Atlantic),6,6,0.5,4,4,0.5,31.9,27,4.98,3.14,,
Florida State,ACC (Atlantic),5,7,0.417,4,4,0.5,27.6,26.5,1.77,3.35,,
Boston College,ACC (Atlantic),6,6,0.5,2,6,0.25,24.7,22.2,-0.09,-0.59,,
Syracuse,ACC (Atlantic),5,7,0.417,2,6,0.25,24.9,26.3,0.66,2.58,,
Pitt,ACC (Coastal),10,2,0.833,7,1,0.875,42.8,23.3,11.89,-0.94,17,
Miami (FL),ACC (Coastal),7,5,0.583,5,3,0.625,34.1,28.4,6.01,4.18,,14
Virginia,ACC (Coastal),6,6,0.5,4,4,0.5,34.6,31.8,3.46,3.79,,
Virginia Tech,ACC (Coastal),6,6,0.5,4,4,0.5,24.8,22.9,2.07,1.15,,
North Carolina,ACC (Coastal),6,6,0.5,3,5,0.375,36.4,31.6,6.26,3.1,,10
Georgia Tech,ACC (Coastal),3,9,0.25,2,6,0.25,24,33.5,-1.02,4.56,,
Duke,ACC (Coastal),3,9,0.25,0,8,0,22.8,39.8,-10.86,0.14,,
Cincinnati,American (East),12,0,1,8,0,1,39.6,15.8,16.13,-2.04,3,8
UCF,American (East),8,4,0.667,5,3,0.625,32.2,25.2,2.1,-2.48,,
East Carolina,American (East),7,5,0.583,5,3,0.625,29.7,26.3,2.05,-0.7,,
Temple,American (East),3,9,0.25,1,7,0.125,16.3,37.5,-14.77,-1.44,,
South Florida,American (East),2,10,0.167,1,7,0.125,23.2,34.7,-8.09,1.82,,
Houston,American (West),11,1,0.917,8,0,1,38.8,19.8,8.4,-6.01,16,
Tulsa,American (West),6,6,0.5,5,3,0.625,26.1,27.4,-1.19,0.07,,
SMU,American (West),8,4,0.667,4,4,0.5,38.4,28.4,6.03,-1.98,,
Memphis,American (West),6,6,0.5,3,5,0.375,30.1,29.3,-1.33,-1.91,,
Navy,American (West),3,8,0.273,3,5,0.375,20.4,29.6,-2.64,4.36,,
Tulane,American (West),2,10,0.167,1,7,0.125,27.6,34,-5.18,2.73,,
Oklahoma State,Big 12,11,1,0.917,8,1,0.889,31.8,16.4,13.08,1.24,5,
Baylor,Big 12,10,2,0.833,7,2,0.778,33.4,19.4,10.63,0.46,9,
Oklahoma,Big 12,10,2,0.833,7,2,0.778,38.4,25.3,9.68,1.1,13,2
Iowa State,Big 12,7,5,0.583,5,4,0.556,32.8,20.6,8.28,1.28,,7
Kansas State,Big 12,7,5,0.583,4,5,0.444,26.3,21.1,6.65,1.24,,
West Virginia,Big 12,6,6,0.5,4,5,0.444,26.8,24.3,0.54,2.04,,
Texas Tech,Big 12,6,6,0.5,3,6,0.333,30,32.1,-0.87,0.79,,
Texas,Big 12,5,7,0.417,3,6,0.333,35.3,31.1,3.49,3.24,,21
Texas Christian,Big 12,5,7,0.417,3,6,0.333,28.7,34.9,-1.82,2.26,,
Kansas,Big 12,2,10,0.167,1,8,0.111,20.8,42.2,-12.44,2.14,,
Michigan,Big Ten (East),11,1,0.917,8,1,0.889,37.3,17.2,20.89,5.14,2,
Ohio State,Big Ten (East),10,2,0.833,8,1,0.889,45.5,20.9,20.48,5.89,7,4
Michigan State,Big Ten (East),10,2,0.833,7,2,0.778,31.9,25.7,14.56,5.48,11,
Penn State,Big Ten (East),7,5,0.583,4,5,0.444,26.3,16.8,13.43,6.1,,19
Maryland,Big Ten (East),6,6,0.5,3,6,0.333,27.3,32.4,2.82,5.82,,
Rutgers,Big Ten (East),5,7,0.417,2,7,0.222,20.5,24.6,0.43,4.26,,
Indiana,Big Ten (East),2,10,0.167,0,9,0,17.3,33.3,-3.83,9.5,,17
Iowa,Big Ten (West),10,2,0.833,7,2,0.778,25.7,17.3,12.07,4.41,15,18
Minnesota,Big Ten (West),8,4,0.667,6,3,0.667,26.1,18.3,10.83,4,,
Purdue,Big Ten (West),8,4,0.667,6,3,0.667,27.5,20.5,11.37,6.78,,
