Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,GlsPer90,AstPer90,G+APer90,G-PKPer90,G+A-PK,xG,npxG,xA,npxG+xA,xGPer90,xAPer90,xG+xAPer90,npxGPer90,npxG+xAPer90,Matches
1,Paxten Aaronson\Paxten-Aaronson,us USA,MFFW,Philadelphia,18-060,2003,12,4,483,5.4,2,0,2,0,0,1,0,0.37,0.00,0.37,0.37,0.37,1.1,1.1,1.0,2.0,0.20,0.18,0.38,0.20,0.38,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,Columbus Crew,30-047,1991,18,7,929,10.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.1,1.2,0.01,0.11,0.11,0.01,0.11,Matches
3,Luciano Abecasis\Luciano-Abecasis,ar ARG,DF,San Jose,31-143,1990,23,14,1232,13.7,0,2,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,0.5,0.5,1.6,2.1,0.04,0.12,0.16,0.04,0.16,Matches
4,Ramón Ábila\Ramon-Abila,ar ARG,FW,D.C. United,32-011,1989,9,0,183,2.0,3,0,3,0,0,0,0,1.48,0.00,1.48,1.48,1.48,1.0,1.0,0.0,1.0,0.48,0.00,0.48,0.48,0.48,Matches
5,Ramón Ábila\Ramon-Abila,ar ARG,FW,Minnesota Utd,32-011,1989,10,1,268,3.0,2,0,2,0,1,1,1,0.67,0.00,0.67,0.67,0.67,2.7,1.8,0.8,2.6,0.91,0.27,1.17,0.60,0.86,Matches
6,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado Rapids,26-304,1994,21,20,1681,18.7,2,0,2,0,0,5,0,0.11,0.00,0.11,0.11,0.11,0.7,0.7,0.0,0.7,0.04,0.00,0.04,0.04,0.04,Matches
7,Nicolás Acevedo\Nicolas-Acevedo,uy URU,MF,NYCFC,22-194,1999,24,15,1351,15.0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.9,1.4,0.03,0.06,0.09,0.03,0.09,Matches
8,Ifunanyachi Achara\Ifunanyachi-Achara,us USA,FWMF,Toronto FC,24-027,1997,13,9,750,8.3,2,1,2,0,0,2,0,0.24,0.12,0.36,0.24,0.36,3.1,3.1,1.0,4.1,0.37,0.12,0.49,0.37,0.49,Matches
9,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,27-335,1993,23,16,1575,17.5,0,1,0,0,0,7,1,0.00,0.06,0.06,0.00,0.06,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,Matches
10,Danilo Acosta\Danilo-Acosta,hn HON,DF,LA Galaxy,23-352,1997,2,0,63,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
11,Kellyn Acosta\Kellyn-Acosta,us USA,MFDF,Colorado Rapids,26-093,1995,20,18,1628,18.1,1,1,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,0.9,0.9,0.7,1.6,0.05,0.04,0.09,0.05,0.09,Matches
12,Luciano Acosta\Luciano-Acosta,ar ARG,MF,FC Cincinnati,27-147,1994,29,28,2514,27.9,7,7,7,0,0,5,0,0.25,0.25,0.50,0.25,0.50,5.6,5.6,7.0,12.6,0.20,0.25,0.45,0.20,0.45,Matches
13,Mo Adams\Mo-Adams,eng ENG,MF,Atlanta Utd,25-032,1996,6,2,148,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
14,Samuel Adeniran\Samuel-Adeniran,us USA,FWMF,Seattle,23-025,1998,2,1,59,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.28,0.00,0.28,0.28,0.28,Matches
15,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Minnesota Utd,31-015,1990,8,1,190,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.17,0.04,0.20,0.17,0.20,Matches
16,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus Crew,35-093,1986,23,20,1722,19.1,0,2,0,0,0,5,1,0.00,0.10,0.10,0.00,0.10,0.5,0.5,0.8,1.3,0.02,0.04,0.07,0.02,0.07,Matches
17,Juan Agudelo\Juan-Agudelo,us USA,FWMF,Minnesota Utd,28-336,1992,13,1,245,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.0,1.6,0.58,0.01,0.59,0.58,0.59,Matches
18,Raul Aguilera Jr.\Raul-Aguilera-Jr,us USA,MF,Orlando City,22-084,1999,3,0,95,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
19,Daniel Aguirre\Daniel-Aguirre,us USA,MFFW,LA Galaxy,22-115,1999,5,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.62,0.00,0.62,0.62,0.62,Matches
